Cog2000 log file Tue Jan 29 16:08:00 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
475626,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.bmp 475626,,,,
476126,[500],:,image croix 476126,,,,
479893,[3767],:,trigger 476672,,,,
479893,[0],:,trigger 479071,,,,
479927,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.bmp 479927,,,,
480428,[501],:,image croix 480427,,,,
484894,[4466],:,trigger 481471,,,,
484894,[0],:,trigger 483871,,,,
484913,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_7.bmp 484913,,,,
485413,[500],:,image croix 485413,,,,
488880,[3467],:,trigger 486270,,,,
488880,[0],:,trigger 488671,,,,
488915,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.bmp 488915,,,,
489415,[500],:,image croix 489415,,,,
495182,[5767],:,bouton_1 198,,,,
495182,[0],:,trigger 491071,,,,
495182,[0],:,trigger 493470,,,,
495218,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_8.bmp 495218,,,,
495718,[500],:,image croix 495718,,,,
498785,[3067],:,trigger 495871,,,,
498785,[0],:,trigger 498270,,,,
498819,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.bmp 498819,,,,
499319,[500],:,image croix 499319,,,,
504186,[4867],:,bouton_1 111,,,,
504186,[0],:,trigger 500672,,,,
504186,[0],:,trigger 503070,,,,
504220,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_9.bmp 504220,,,,
504721,[501],:,image croix 504721,,,,
508688,[3967],:,trigger 505470,,,,
508688,[0],:,trigger 507870,,,,
508722,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.bmp 508722,,,,
509222,[500],:,image croix 509222,,,,
514089,[4867],:,trigger 510270,,,,
514089,[0],:,trigger 512672,,,,
514107,[18],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_5.bmp 514107,,,,
514607,[500],:,image croix 514607,,,,
519474,[4867],:,trigger 515070,,,,
519474,[0],:,trigger 517471,,,,
519494,[20],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 519494,,,,
519961,[467],:,trigger 519871,,,,
519994,[33],:,image croix 519994,,,,
523061,[3067],:,bouton_1 125,,,,
523061,[0],:,bouton_1 125,,,,
523061,[0],:,bouton_1 343,,,,
523063,[2],:,trigger 522270,,,,
523095,[32],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.bmp 523095,,,,
523595,[500],:,image croix 523595,,,,
528562,[4967],:,trigger 524671,,,,
