Cog2000 log file Tue Jul 10 18:50:43 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
319130,[3167],:,trigger 316218,,,,
319130,[0],:,bouton_1 255,,,,
319130,[0],:,trigger 318620,,,,
319164,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 319164,,,,
319664,[500],:,image croix 319664,,,,
323531,[3867],:,bouton_1 337,,,,
323531,[0],:,trigger 321020,,,,
323531,[0],:,trigger 323419,,,,
323565,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_4.BMP 323565,,,,
324065,[500],:,image croix 324065,,,,
329632,[5567],:,bouton_1 155,,,,
329632,[0],:,trigger 325819,,,,
329632,[0],:,trigger 328220,,,,
329668,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_9.BMP 329668,,,,
330168,[500],:,image croix 330168,,,,
333735,[3567],:,bouton_1 286,,,,
333735,[0],:,trigger 330619,,,,
333735,[0],:,trigger 333019,,,,
333770,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.BMP 333770,,,,
334270,[500],:,image croix 334270,,,,
339037,[4767],:,bouton_1 165,,,,
339037,[0],:,trigger 335420,,,,
339037,[0],:,trigger 337820,,,,
339072,[35],:,image nostim.BMP 339071,,,,
339572,[500],:,image croix 339572,,,,
344539,[4967],:,trigger 340221,,,,
344539,[0],:,trigger 342619,,,,
344574,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 344574,,,,
345041,[467],:,trigger 345020,,,,
345074,[33],:,image croix 345074,,,,
348941,[3867],:,trigger 347420,,,,
348976,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 348976,,,,
349476,[500],:,image croix 349476,,,,
352443,[2967],:,trigger 349820,,,,
352443,[0],:,trigger 352220,,,,
352478,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 352478,,,,
352978,[500],:,image croix 352978,,,,
358145,[5167],:,bouton_1 273,,,,
358145,[0],:,trigger 354620,,,,
358145,[0],:,trigger 357020,,,,
358180,[35],:,image nostim.BMP 358180,,,,
358680,[500],:,image croix 358680,,,,
363647,[4967],:,trigger 359420,,,,
363647,[0],:,trigger 361820,,,,
363682,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.BMP 363682,,,,
364182,[500],:,image croix 364182,,,,
368249,[4067],:,trigger 364220,,,,
368249,[0],:,trigger 366620,,,,
368283,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.BMP 368283,,,,
368784,[501],:,image croix 368784,,,,
372251,[3467],:,trigger 369020,,,,
372251,[0],:,bouton_1 315,,,,
372251,[0],:,trigger 371419,,,,
372285,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_8.BMP 372285,,,,
372785,[500],:,image croix 372785,,,,
376452,[3667],:,bouton_1 942,,,,
376452,[0],:,trigger 373819,,,,
376452,[0],:,trigger 373819,,,,
376454,[2],:,trigger 376220,,,,
376487,[33],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.BMP 376487,,,,
376987,[500],:,image croix 376987,,,,
381354,[4367],:,bouton_1 214,,,,
381354,[0],:,trigger 378620,,,,
381354,[0],:,trigger 381021,,,,
381389,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_2.BMP 381389,,,,
381889,[500],:,image croix 381889,,,,
385856,[3967],:,bouton_1 388,,,,
385856,[0],:,trigger 382277,,,,
385856,[0],:,trigger 383420,,,,
385858,[2],:,trigger 385820,,,,
385891,[33],:,image nostim.BMP 385891,,,,
386391,[500],:,image croix 386391,,,,
390958,[4567],:,trigger 388220,,,,
390958,[0],:,trigger 390620,,,,
390993,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 390993,,,,
391493,[500],:,image croix 391493,,,,
396960,[5467],:,trigger 393020,,,,
396960,[0],:,trigger 395420,,,,
396979,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 396979,,,,
397479,[500],:,image croix 397479,,,,
400446,[2967],:,bouton_1 256,,,,
400446,[0],:,trigger 397820,,,,
400446,[0],:,trigger 400220,,,,
400480,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_9.BMP 400479,,,,
400980,[500],:,image croix 400980,,,,
405447,[4467],:,trigger 402619,,,,
405447,[0],:,trigger 405020,,,,
405482,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.BMP 405482,,,,
405982,[500],:,image croix 405982,,,,
410549,[4567],:,trigger 407420,,,,
410549,[0],:,trigger 409819,,,,
410567,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 410567,,,,
411067,[500],:,image croix 411067,,,,
415334,[4267],:,bouton_1 407,,,,
415334,[0],:,trigger 412219,,,,
415334,[0],:,trigger 414620,,,,
415369,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 415369,,,,
415869,[500],:,image croix 415869,,,,
420736,[4867],:,bouton_1 663,,,,
420736,[0],:,trigger 417021,,,,
420736,[0],:,trigger 419420,,,,
420771,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.BMP 420771,,,,
421271,[500],:,image croix 421271,,,,
425638,[4367],:,bouton_1 250,,,,
425638,[0],:,trigger 421820,,,,
425638,[0],:,trigger 424221,,,,
425674,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 425674,,,,
426174,[500],:,image croix 426174,,,,
429441,[3267],:,trigger 426620,,,,
429441,[0],:,trigger 429021,,,,
429475,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_7.BMP 429475,,,,
429976,[501],:,image croix 429976,,,,
435443,[5467],:,bouton_1 227,,,,
435443,[0],:,trigger 431420,,,,
435443,[0],:,trigger 433820,,,,
435478,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_8.BMP 435478,,,,
435978,[500],:,image croix 435978,,,,
440045,[4067],:,trigger 436221,,,,
440045,[0],:,trigger 438620,,,,
440079,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_4.BMP 440079,,,,
440579,[500],:,image croix 440579,,,,
444046,[3467],:,trigger 441021,,,,
444046,[0],:,bouton_1 475,,,,
444046,[0],:,trigger 443420,,,,
444081,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_7.BMP 444081,,,,
444581,[500],:,image croix 444581,,,,
449948,[5367],:,bouton_1 196,,,,
449948,[0],:,trigger 445820,,,,
449948,[0],:,trigger 448220,,,,
449983,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.BMP 449983,,,,
450483,[500],:,image croix 450483,,,,
454650,[4167],:,trigger 450620,,,,
454650,[0],:,trigger 453021,,,,
454686,[36],:,image nostim.BMP 454686,,,,
455186,[500],:,image croix 455186,,,,
458753,[3567],:,trigger 455420,,,,
458753,[0],:,trigger 457820,,,,
458787,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 458787,,,,
459287,[500],:,image croix 459287,,,,
463654,[4367],:,trigger 460220,,,,
