Cog2000 log file Tue Feb 05 16:10:49 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
644503,[4467],:,bouton_1 238,,,,
644503,[0],:,trigger 641380,,,,
644503,[0],:,trigger 643781,,,,
644538,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.bmp 644538,,,,
645038,[500],:,image croix 645038,,,,
650005,[4967],:,bouton_1 245,,,,
650005,[0],:,trigger 646181,,,,
650005,[0],:,trigger 648582,,,,
650040,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_4.bmp 650040,,,,
650540,[500],:,image croix 650540,,,,
655407,[4867],:,bouton_1 201,,,,
655407,[0],:,trigger 650980,,,,
655407,[0],:,trigger 653380,,,,
655442,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.bmp 655442,,,,
655909,[467],:,trigger 655782,,,,
655942,[33],:,image croix 655942,,,,
660209,[4267],:,bouton_1 245,,,,
660209,[0],:,trigger 658180,,,,
660244,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.bmp 660244,,,,
660711,[467],:,trigger 660581,,,,
660711,[0],:,trigger 660581,,,,
660711,[0],:,trigger 660581,,,,
660744,[33],:,image croix 660744,,,,
664011,[3267],:,trigger 662981,,,,
664045,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.bmp 664045,,,,
664545,[500],:,image croix 664545,,,,
669012,[4467],:,bouton_1 47,,,,
669012,[0],:,trigger 665381,,,,
669012,[0],:,trigger 667781,,,,
669047,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 669047,,,,
669547,[500],:,image croix 669547,,,,
673214,[3667],:,bouton_1 208,,,,
673214,[0],:,trigger 670181,,,,
673214,[0],:,trigger 672582,,,,
673250,[36],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.bmp 673250,,,,
673750,[500],:,image croix 673750,,,,
678817,[5067],:,bouton_1 295,,,,
678817,[0],:,trigger 674982,,,,
678817,[0],:,trigger 677380,,,,
678851,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_2.bmp 678851,,,,
679352,[501],:,image croix 679352,,,,
682519,[3167],:,bouton_1 142,,,,
682519,[0],:,trigger 679777,,,,
682519,[0],:,trigger 682180,,,,
682553,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.bmp 682553,,,,
683053,[500],:,image croix 683053,,,,
688620,[5567],:,bouton_1 164,,,,
688620,[0],:,trigger 684581,,,,
688620,[0],:,trigger 686981,,,,
688656,[36],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_2.bmp 688656,,,,
689156,[500],:,image croix 689156,,,,
692523,[3367],:,bouton_1 178,,,,
692523,[0],:,trigger 689381,,,,
692523,[0],:,trigger 691781,,,,
692557,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.bmp 692557,,,,
693057,[500],:,image croix 693057,,,,
698024,[4967],:,bouton_1 212,,,,
698024,[0],:,bouton_1 212,,,,
698024,[0],:,trigger 694180,,,,
698027,[3],:,trigger 696581,,,,
698031,[4],:,bouton_1 3524,,,,
698059,[28],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.bmp 698059,,,,
698559,[500],:,image croix 698559,,,,
701626,[3067],:,bouton_1 60,,,,
701626,[0],:,trigger 698981,,,,
701626,[0],:,trigger 701380,,,,
701661,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.bmp 701661,,,,
702161,[500],:,image croix 702161,,,,
707328,[5167],:,bouton_1 75,,,,
707328,[0],:,trigger 703781,,,,
707328,[0],:,trigger 706181,,,,
707363,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.bmp 707363,,,,
707830,[467],:,bouton_1 367,,,,
707863,[33],:,image croix 707863,,,,
712430,[4567],:,trigger 708582,,,,
712430,[0],:,trigger 710981,,,,
712465,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_7.bmp 712465,,,,
712965,[500],:,image croix 712965,,,,
716032,[3067],:,trigger 713380,,,,
716032,[0],:,trigger 713380,,,,
716032,[0],:,bouton_1 716,,,,
716035,[3],:,trigger 715781,,,,
716067,[32],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.bmp 716066,,,,
716567,[500],:,image croix 716567,,,,
720734,[4167],:,trigger 718181,,,,
720734,[0],:,trigger 720582,,,,
720768,[34],:,image nostim.bmp 720768,,,,
721268,[500],:,image croix 721268,,,,
726035,[4767],:,trigger 722981,,,,
726035,[0],:,trigger 725381,,,,
726054,[19],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.bmp 726054,,,,
726554,[500],:,image croix 726554,,,,
731021,[4467],:,bouton_1 500,,,,
731021,[0],:,trigger 727781,,,,
731021,[0],:,trigger 730180,,,,
731056,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.bmp 731056,,,,
731556,[500],:,image croix 731556,,,,
736823,[5267],:,trigger 732581,,,,
736823,[0],:,trigger 734981,,,,
736841,[18],:,image nostim.bmp 736841,,,,
737341,[500],:,image croix 737341,,,,
740608,[3267],:,trigger 737381,,,,
740608,[0],:,trigger 739781,,,,
740643,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.bmp 740643,,,,
741143,[500],:,image croix 741143,,,,
