Cog2000 log file Tue Jan 22 15:55:30 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
2591148,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.bmp 2591148,,,,
2591648,[500],:,image croix 2591648,,,,
2595516,[3868],:,bouton_1 489,,,,
2595516,[0],:,trigger 2592920,,,,
2595516,[0],:,trigger 2595320,,,,
2595550,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.bmp 2595550,,,,
2596051,[501],:,image croix 2596051,,,,
2602018,[5967],:,trigger 2597720,,,,
2602018,[0],:,trigger 2600120,,,,
2602018,[0],:,bouton_2 4069,,,,
2602053,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.bmp 2602053,,,,
2602553,[500],:,image croix 2602553,,,,
2606620,[4067],:,trigger 2602520,,,,
2606620,[0],:,bouton_1 74,,,,
2606621,[1],:,trigger 2604921,,,,
2606654,[33],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.bmp 2606654,,,,
2607155,[501],:,image croix 2607154,,,,
2611421,[4266],:,bouton_1 42,,,,
2611421,[0],:,trigger 2607321,,,,
2611421,[0],:,trigger 2609721,,,,
2611457,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.bmp 2611456,,,,
2611923,[466],:,bouton_1 417,,,,
2611957,[34],:,image croix 2611957,,,,
2615024,[3067],:,trigger 2612121,,,,
2615024,[0],:,trigger 2614520,,,,
2615057,[33],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.bmp 2615057,,,,
2615558,[501],:,image croix 2615558,,,,
2620525,[4967],:,trigger 2616921,,,,
2620525,[0],:,trigger 2619321,,,,
2620560,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.bmp 2620560,,,,
2621060,[500],:,image croix 2621060,,,,
2625827,[4767],:,trigger 2621720,,,,
2625827,[0],:,trigger 2624120,,,,
2625862,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.bmp 2625862,,,,
2626362,[500],:,image croix 2626362,,,,
2630429,[4067],:,trigger 2626520,,,,
2630429,[0],:,bouton_1 243,,,,
2630429,[0],:,trigger 2628921,,,,
2630464,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_8.bmp 2630464,,,,
2630965,[501],:,image croix 2630965,,,,
2634232,[3267],:,bouton_1 97,,,,
2634232,[0],:,trigger 2631321,,,,
2634232,[0],:,trigger 2633720,,,,
2634265,[33],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.bmp 2634265,,,,
2634765,[500],:,image croix 2634765,,,,
2639832,[5067],:,trigger 2636121,,,,
2639832,[0],:,trigger 2638520,,,,
2639851,[19],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.bmp 2639851,,,,
2640351,[500],:,image croix 2640351,,,,
2643618,[3267],:,trigger 2640921,,,,
2643618,[0],:,trigger 2643320,,,,
2643653,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.bmp 2643653,,,,
2644153,[500],:,image croix 2644153,,,,
2649020,[4867],:,trigger 2645720,,,,
2649020,[0],:,trigger 2648121,,,,
2649054,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 2649054,,,,
2649555,[501],:,image croix 2649554,,,,
2653321,[3766],:,bouton_1 109,,,,
2653321,[0],:,trigger 2650521,,,,
2653321,[0],:,trigger 2652921,,,,
2653356,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.bmp 2653356,,,,
2653857,[501],:,image croix 2653856,,,,
2659023,[5166],:,bouton_1 195,,,,
2659023,[0],:,trigger 2655321,,,,
2659023,[0],:,trigger 2657720,,,,
2659059,[36],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.bmp 2659058,,,,
2659559,[500],:,image croix 2659559,,,,
2663926,[4367],:,bouton_1 421,,,,
2663926,[0],:,trigger 2660120,,,,
2663926,[0],:,trigger 2662520,,,,
2663929,[3],:,trigger 2662520,,,,
2663961,[32],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.bmp 2663961,,,,
2664461,[500],:,image croix 2664461,,,,
2668928,[4467],:,trigger 2664921,,,,
